"";"GSM1866367";"GSM1866368";"GSM1866369";"GSM1866370";"GSM1866371";"GSM1866372";"GSM1866373";"GSM1866374";"GSM1866381";"GSM1866382";"GSM1866383";"ID";"SPOT_ID";"CONTROL_TYPE";"REFSEQ";"GB_ACC";"GENE";"GENE_SYMBOL";"GENE_NAME";"UNIGENE_ID";"ENSEMBL_ID";"TIGR_ID";"ACCESSION_STRING";"CHROMOSOMAL_LOCATION";"CYTOBAND";"DESCRIPTION";"GO_ID";"SEQUENCE";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"A_19_P00315791";2,1482782;2,1261916;1,8528192;3,719965;6,802463;6,924445;5,7446575;5,501191;3,468576;3,7078633;4,9457307;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,69389725;4,08763542352941;-1,44577952928696;0,167571408336449;0,39626203726646;-5,49297922264051
"A_19_P00315797";2,1949785;2,2564518;7,283747;1,3377215;1,8270268;1,5888382;1,7841386;1,8190134;2,6651752;3,1866946;4,3844023;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,946551300000001;3,02203542352941;0,841625723943332;0,412419216288889;0,689409589345717;-6,15260047978142
"A_19_P00315799";4,2970033;1,9428837;3,9597359;1,9087975;3,9896975;1,8945043;2,0487735;2,8345528;2,9150314;3,2837515;2,7534566;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,557107216666668;2,99925460588235;0,90767957846765;0,37753635141806;0,656158519724468;-6,09534343914104
"A_19_P00315818";5,0535717;5,4444976;5,0567036;3,7896185;3,7779999;3,2616;4,647831;4,12296;2,6510909;2,9907694;2,5163674;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0119363833333352;3,7349037;0,021931468170029;0,982774217126032;0,99181958187233;-6,51245820695244
"A_19_P00315826";2,1598256;1,6831672;2,2262855;1,4057388;4,744978;4,50054;5,375099;5,29077;5,030322;5,0512867;5,7062683;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-2,54617865;4,4689762;-3,30879341096456;0,00444390624893425;0,0427570996872114;-2,20725103336307
"A_19_P00315835";2,5086179;2,4702446;2,2648745;2,8288107;2,2429552;4,0789895;3,432203;2,8350687;4,018613;3,35276;3,7961822;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,401220449999999;3,32126962352941;-0,823720682304815;0,422225728263281;0,698337501228432;-6,1674419046747
"A_19_P00315856";5,3742924;3,431103;3,4180038;3,73319;2,624294;1,9848516;2,0130422;2,1637218;2,807946;3,1813312;3,1190028;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,33924046666667;3,31982834117647;1,13098159504679;0,274756140521899;0,535122928143364;-5,87361610982484
"A_19_P00315859";5,8550625;4,465137;2,2909076;3,9094934;4,5551043;4,3803887;4,699028;6,358907;2,7694945;3,1080375;3,1667516;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,28628525;3,69123958235294;-1,93734882420432;0,0705895349649659;0,231330691788172;-4,76454629340187
"A_19_P00315863";4,046015;4,864389;4,0410876;6,437895;3,9662657;4,4810205;5,5586495;5,787085;6,0825725;6,0033965;5,171901;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,03342178333333;5,30898015294118;-1,89895554157584;0,0757828290292203;0,241180780836262;-4,82646883531976
"A_19_P00315870";6,5642323;5,762088;5,3347974;4,5337334;4,3329525;4,489534;3,7253482;4,9018307;6,3827786;6,442052;6,756285;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,855966816666668;5,76238552941176;1,69430705838034;0,109608816294301;0,305502979587574;-5,14295200170695
"A_19_P00315886";6,1101904;4,4857187;3,7151618;4,1234984;4,3778276;4,1738114;4,5723767;4,602198;2,897366;3,2608178;2,7292414;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,0895859666666645;3,75129744117647;-0,168931911693735;0,867970613567263;0,953351622153509;-6,49788704705835
"A_19_P00315894";2,1028123;2,9959846;3,084476;2,5862615;1,9206822;2,1597795;1,7912322;5,0054398;4,2039747;3,021359;2,5267558;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,923336649999999;3,07137044117647;-1,16878785201512;0,259634432500282;0,516665648749421;-5,83194980008639
"A_19_P00315898";2,9231515;2,278719;1,9603057;1,5133982;2,7499487;1,7209258;3,772381;2,8180628;4,326919;3,5188146;2,7442753;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,10414708333333;2,86728148823529;-2,09411654696116;0,0525528275296114;0,193153947470954;-4,50412161495286
"A_19_P00315900";2,8168573;2,652249;6,6460166;2,8175514;4,441872;4,88559;5,5476446;6,293326;2,6549804;3,5398738;3,863666;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,87712925;4,19864061764706;-2,27794818218053;0,0368275772690167;0,154036349522859;-4,18468259099919
"A_19_P00315905";9,496596;5,9433074;4,0570245;3,082653;1,6497462;1,6875446;1,9001539;3,2405677;4,5221157;4,945599;4,04467;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,74911781666667;3,96210725882353;1,2157290783131;0,241748457385539;0,493140888521785;-5,77862308675939
"A_19_P00315915";4,0281696;6,8701057;5,2002926;3,0105152;3,628879;1,9518607;2,8572378;1,9889016;3,3844936;4,41136;2,5291474;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,69190076666667;3,73502373529412;1,43285756409966;0,171177368331278;0,400709111256622;-5,51004798026087
"A_19_P00315917";3,339423;5,552668;2,35039;3,1132095;2,0088332;2,4911742;2,4262896;1,8968031;3,421276;4,570026;3,709454;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,981069966666667;3,26639857647059;1,38437319064862;0,185277990414442;0,41981608565147;-5,57303624010747
"A_19_P00315925";6,2210093;4,3678904;3,235361;4,585782;4,9267898;4,1271534;5,6527867;5,5710726;2,947066;3,2833195;2,767932;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,03459866666666;4,11536616470588;-1,77815433755375;0,0944143036231888;0,278632223456225;-5,01615380891568
"A_19_P00315943";5,813043;5,0005403;5,237547;4,076047;4,978654;4,437995;4,177619;4,1225333;5,356939;3,9959068;2,4517334;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,773894900000002;4,1997539;1,24815495298357;0,22995848185601;0,478975879056067;-5,74077383562938
"A_19_P00315956";2,308784;1,8189286;2,0776107;1,5269289;2,4678836;3,2446551;2,6724114;3,6297305;3,7176194;4,493099;4,8583045;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,910272466666665;3,54415326470588;-1,6784342117891;0,112712709194982;0,310814719989067;-5,1664849296121
"A_19_P00315960";2,1144934;1,6283039;1,875304;1,3650824;1,5464844;1,5956806;1,7991086;1,8361342;2,7050784;3,0467224;2,545501;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,130063283333332;2,36783575882353;-0,276499326153455;0,785709840046682;0,930474065123122;-6,47306362137758
"A_19_P00315962";2,0590374;1,4836978;1,7336713;1,2615873;1,4357898;1,5047759;2,5880125;1,7410352;2,580198;2,919793;2,4483538;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,584763933333333;2,23005440588235;-1,64853842398137;0,118765096067202;0,320998201837503;-5,21038970773807
"A_19_P00315977";4,61075;4,7638226;4,628082;1,4234484;1,6204281;1,6759571;1,8641572;2,5111194;2,709279;3,068357;3,5577292;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,932776400000003;3,07946328823529;0,899386595680657;0,381803566379644;0,660302883254292;-6,10274658542591
"A_19_P00315998";2,0981345;1,6446413;1,8786223;1,3516827;1,5491706;1,5991708;2,3120105;1,8222749;2,7055907;3,0451248;2,540796;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,380239;2,30922085294118;-1,1019280029269;0,286817937772833;0,549755917489971;-5,90484540109821
"A_19_P00315999";3,8275354;1,9959159;2,2465234;1,6686332;1,8599718;1,912436;2,1022828;2,1383662;2,999781;3,3357673;2,8320203;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,131511450000001;2,66614562352941;0,269396787878543;0,79107287542218;0,932696053984071;-6,47506954526062
"A_19_P00316000";4,409707;1,7321866;1,979054;1,4545999;2,3673377;1,9659507;3,4385283;4,1010838;2,733025;3,100536;3,4202716;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,45166673333333;2,89986471764706;-2,54515049676095;0,0216322906716414;0,111419391565897;-3,69764608885972
"A_19_P00316007";3,8638704;1,5830848;1,83651;1,3514013;1,5408542;1,6135606;1,7971735;1,8157854;2,6229534;2,9709418;2,7021897;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,158400766666668;2,38516022352941;0,311219439726752;0,759658071789394;0,922616159150537;-6,4625147479623
"A_19_P00316010";9,540169;7,8594546;9,6324005;9,529118;8,541538;8,172371;7,7091756;7,63605;7,8668656;7,7242703;6,658578;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,20656238333333;8,44811232941177;2,51581580334187;0,0229509040176312;0,115307423302563;-3,75226485806745
"A_19_P00316050";2,1423242;1,6800622;1,9232364;2,4395497;2,7052383;3,715106;2,8188674;3,6094563;4,1738853;3,0732043;5,152702;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,779909049999999;3,03013538235294;-1,36229737590879;0,192003378310265;0,428932562845615;-5,60115562762682
"A_19_P00316063";5,7416835;5,430584;7,851349;7,5297213;9,187631;8,72182;9,218479;9,704427;8,918385;9,006939;9,122811;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-2,0509882;8,47261695882353;-2,7408540921405;0,0145191042869295;0,0867919931191719;-3,32709000063034
"A_19_P00316068";2,0670552;1,597433;1,8276241;1,3165429;1,5197693;1,5763606;1,7691497;1,8012862;2,6626132;5,628183;2,5152552;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,134420433333333;2,4017683;-0,22229473012655;0,826901410736473;0,94538247014421;-6,4870617053672
"A_19_P00316075";13,134957;13,765688;11,416603;10,805452;10,23833;10,041004;10,833849;10,800422;9,518233;9,491633;9,456623;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,749870166666673;10,3260327941176;0,998466432908238;0,332937441719038;0,605949904168499;-6,01034039032586
"A_19_P00316097";6,3504267;6,4530625;6,2468357;5,822519;5,708138;5,87607;5,65263;5,184821;4,584032;4,935253;4,257215;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,657449816666668;5,08238012352941;1,36523769741785;0,19109640259962;0,427534989072267;-5,59743082886843
